generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label
2026-07-03T21:41:18+00:00,2,10,+10 min,Ponce,Ponce,south_coast,18.011,-66.614,0.021,0.43,10.6,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 24h 0.43 pulgadas, riesgo 6 de 100, viento 10.6 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,San German,San Germán,west,18.082,-67.044,0.036,0.74,9.5,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 24h 0.74 pulgadas, riesgo 9 de 100, viento 9.5 mph desde ESE."
2026-07-03T21:41:18+00:00,2,10,+10 min,San Juan,San Juan,north_coast,18.465,-66.105,0.033,0.69,13.2,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 24h 0.69 pulgadas, riesgo 9 de 100, viento 13.2 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.033,0.69,5.4,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 24h 0.69 pulgadas, riesgo 25 de 100, viento 5.4 mph desde ESE."
2026-07-03T21:41:18+00:00,2,10,+10 min,Aguada,Aguada,west,18.379,-67.188,0.038,0.79,6.8,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 24h 0.79 pulgadas, riesgo 31 de 100, viento 6.8 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.037,0.76,8.0,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 24h 0.76 pulgadas, riesgo 23 de 100, viento 8.0 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.033,0.7,9.1,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 24h 0.70 pulgadas, riesgo 11 de 100, viento 9.1 mph desde ESE."
2026-07-03T21:41:18+00:00,2,10,+10 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.035,0.71,9.2,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 24h 0.71 pulgadas, riesgo 14 de 100, viento 9.2 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Anasco,Anasco,west,18.282,-67.14,0.037,0.76,4.6,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 24h 0.76 pulgadas, riesgo 24 de 100, viento 4.6 mph desde ESE."
2026-07-03T21:41:18+00:00,2,10,+10 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.029,0.6,13.3,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 24h 0.60 pulgadas, riesgo 10 de 100, viento 13.3 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.038,0.79,12.2,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 24h 0.79 pulgadas, riesgo 11 de 100, viento 12.2 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.028,0.57,12.5,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 24h 0.57 pulgadas, riesgo 12 de 100, viento 12.5 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.033,0.7,8.2,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 24h 0.70 pulgadas, riesgo 10 de 100, viento 8.2 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.028,0.58,11.5,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 24h 0.58 pulgadas, riesgo 7 de 100, viento 11.5 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.035,0.73,9.7,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 24h 0.73 pulgadas, riesgo 9 de 100, viento 9.7 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.024,0.49,10.0,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 24h 0.49 pulgadas, riesgo 8 de 100, viento 10.4 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Ponce,Ponce,south_coast,18.011,-66.614,0.022,0.43,10.2,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 24h 0.43 pulgadas, riesgo 6 de 100, viento 10.6 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,San German,San Germán,west,18.082,-67.044,0.037,0.74,9.2,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 24h 0.74 pulgadas, riesgo 9 de 100, viento 9.5 mph desde ESE."
2026-07-03T21:41:18+00:00,3,15,+15 min,San Juan,San Juan,north_coast,18.465,-66.105,0.035,0.69,12.7,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 24h 0.69 pulgadas, riesgo 9 de 100, viento 13.2 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.035,0.69,5.2,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 24h 0.69 pulgadas, riesgo 25 de 100, viento 5.4 mph desde ESE."
2026-07-03T21:41:18+00:00,3,15,+15 min,Aguada,Aguada,west,18.379,-67.188,0.04,0.79,6.6,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 24h 0.79 pulgadas, riesgo 31 de 100, viento 6.8 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.038,0.76,7.7,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 24h 0.76 pulgadas, riesgo 23 de 100, viento 8.0 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.035,0.7,8.8,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 24h 0.70 pulgadas, riesgo 11 de 100, viento 9.1 mph desde ESE."
2026-07-03T21:41:18+00:00,3,15,+15 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.036,0.71,8.9,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 24h 0.71 pulgadas, riesgo 14 de 100, viento 9.2 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Anasco,Anasco,west,18.282,-67.14,0.038,0.76,4.4,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 24h 0.76 pulgadas, riesgo 24 de 100, viento 4.6 mph desde ESE."
2026-07-03T21:41:18+00:00,3,15,+15 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.03,0.6,12.8,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 24h 0.60 pulgadas, riesgo 10 de 100, viento 13.3 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.04,0.79,11.8,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 24h 0.79 pulgadas, riesgo 11 de 100, viento 12.2 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.029,0.57,12.1,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 24h 0.57 pulgadas, riesgo 12 de 100, viento 12.5 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.035,0.7,7.9,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 24h 0.70 pulgadas, riesgo 10 de 100, viento 8.2 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.029,0.58,11.1,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 24h 0.58 pulgadas, riesgo 7 de 100, viento 11.5 mph desde E."
2026-07-03T21:41:18+00:00,3,15,+15 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.036,0.73,9.4,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 24h 0.73 pulgadas, riesgo 9 de 100, viento 9.7 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.023,0.49,9.6,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 24h 0.49 pulgadas, riesgo 8 de 100, viento 10.4 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Ponce,Ponce,south_coast,18.011,-66.614,0.021,0.43,9.8,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 24h 0.43 pulgadas, riesgo 6 de 100, viento 10.6 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,San German,San Germán,west,18.082,-67.044,0.036,0.74,8.8,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 24h 0.74 pulgadas, riesgo 9 de 100, viento 9.5 mph desde ESE."
2026-07-03T21:41:18+00:00,4,20,+20 min,San Juan,San Juan,north_coast,18.465,-66.105,0.033,0.69,12.2,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 24h 0.69 pulgadas, riesgo 9 de 100, viento 13.2 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.033,0.69,5.0,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 24h 0.69 pulgadas, riesgo 25 de 100, viento 5.4 mph desde ESE."
2026-07-03T21:41:18+00:00,4,20,+20 min,Aguada,Aguada,west,18.379,-67.188,0.038,0.79,6.3,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 24h 0.79 pulgadas, riesgo 31 de 100, viento 6.8 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.037,0.76,7.4,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 24h 0.76 pulgadas, riesgo 23 de 100, viento 8.0 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.033,0.7,8.4,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 24h 0.70 pulgadas, riesgo 11 de 100, viento 9.1 mph desde ESE."
2026-07-03T21:41:18+00:00,4,20,+20 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.035,0.71,8.5,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 24h 0.71 pulgadas, riesgo 14 de 100, viento 9.2 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Anasco,Anasco,west,18.282,-67.14,0.037,0.76,4.3,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 24h 0.76 pulgadas, riesgo 24 de 100, viento 4.6 mph desde ESE."
2026-07-03T21:41:18+00:00,4,20,+20 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.029,0.6,12.3,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 24h 0.60 pulgadas, riesgo 10 de 100, viento 13.3 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.038,0.79,11.3,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 24h 0.79 pulgadas, riesgo 11 de 100, viento 12.2 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.028,0.57,11.6,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 24h 0.57 pulgadas, riesgo 12 de 100, viento 12.5 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.033,0.7,7.6,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 24h 0.70 pulgadas, riesgo 10 de 100, viento 8.2 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.028,0.58,10.7,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 24h 0.58 pulgadas, riesgo 7 de 100, viento 11.5 mph desde E."
2026-07-03T21:41:18+00:00,4,20,+20 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.035,0.73,9.0,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 24h 0.73 pulgadas, riesgo 9 de 100, viento 9.7 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.02,0.49,9.3,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 24h 0.49 pulgadas, riesgo 8 de 100, viento 10.4 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Ponce,Ponce,south_coast,18.011,-66.614,0.018,0.43,9.5,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 24h 0.43 pulgadas, riesgo 6 de 100, viento 10.6 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,San German,San Germán,west,18.082,-67.044,0.032,0.74,8.5,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 24h 0.74 pulgadas, riesgo 9 de 100, viento 9.5 mph desde ESE."
2026-07-03T21:41:18+00:00,5,25,+25 min,San Juan,San Juan,north_coast,18.465,-66.105,0.03,0.69,11.8,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 24h 0.69 pulgadas, riesgo 9 de 100, viento 13.2 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.03,0.69,4.8,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 24h 0.69 pulgadas, riesgo 25 de 100, viento 5.4 mph desde ESE."
2026-07-03T21:41:18+00:00,5,25,+25 min,Aguada,Aguada,west,18.379,-67.188,0.034,0.79,6.1,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 24h 0.79 pulgadas, riesgo 31 de 100, viento 6.8 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.033,0.76,7.2,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 24h 0.76 pulgadas, riesgo 23 de 100, viento 8.0 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.03,0.7,8.2,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 24h 0.70 pulgadas, riesgo 11 de 100, viento 9.1 mph desde ESE."
2026-07-03T21:41:18+00:00,5,25,+25 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.031,0.71,8.2,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 24h 0.71 pulgadas, riesgo 14 de 100, viento 9.2 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Anasco,Anasco,west,18.282,-67.14,0.033,0.76,4.1,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 24h 0.76 pulgadas, riesgo 24 de 100, viento 4.6 mph desde ESE."
2026-07-03T21:41:18+00:00,5,25,+25 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.026,0.6,11.9,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 24h 0.60 pulgadas, riesgo 10 de 100, viento 13.3 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.034,0.79,10.9,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 24h 0.79 pulgadas, riesgo 11 de 100, viento 12.2 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.025,0.57,11.2,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 24h 0.57 pulgadas, riesgo 12 de 100, viento 12.5 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.03,0.7,7.3,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 24h 0.70 pulgadas, riesgo 10 de 100, viento 8.2 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.025,0.58,10.3,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 24h 0.58 pulgadas, riesgo 7 de 100, viento 11.5 mph desde E."
2026-07-03T21:41:18+00:00,5,25,+25 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.031,0.73,8.7,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 24h 0.73 pulgadas, riesgo 9 de 100, viento 9.7 mph desde E."
2026-07-03T21:41:18+00:00,6,30,+30 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.017,0.49,9.2,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 24h 0.49 pulgadas, riesgo 8 de 100, viento 10.4 mph desde E."
2026-07-03T21:41:18+00:00,6,30,+30 min,Ponce,Ponce,south_coast,18.011,-66.614,0.015,0.43,9.3,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 24h 0.43 pulgadas, riesgo 6 de 100, viento 10.6 mph desde E."
