lat,lon,operational_risk_score,grid_kind
18.28,-66.825,20.144,idw_visual
18.28,-66.77,21.31,idw_visual
18.28,-66.715,21.54,idw_visual
18.28,-66.66,20.46,idw_visual
18.28,-66.605,18.644,idw_visual
18.28,-66.55,16.946,idw_visual
18.28,-66.495,15.735,idw_visual
18.28,-66.44,14.96,idw_visual
18.28,-66.385,14.437,idw_visual
18.28,-66.33,14.003,idw_visual
18.28,-66.275,13.57,idw_visual
18.28,-66.22,13.141,idw_visual
18.28,-66.165,12.787,idw_visual
18.28,-66.11,12.573,idw_visual
18.28,-66.055,12.514,idw_visual
18.28,-66.0,12.576,idw_visual
18.28,-65.945,12.709,idw_visual
18.28,-65.89,12.874,idw_visual
18.28,-65.835,13.046,idw_visual
18.28,-65.78,13.211,idw_visual
18.28,-65.725,13.365,idw_visual
18.28,-65.67,13.504,idw_visual
18.28,-65.615,13.63,idw_visual
18.28,-65.56,13.744,idw_visual
18.28,-65.505,13.845,idw_visual
18.28,-65.45,13.936,idw_visual
18.28,-65.395,14.019,idw_visual
18.28,-65.34,14.093,idw_visual
18.28,-65.285,14.161,idw_visual
18.28,-65.23,14.222,idw_visual
18.28,-65.175,14.278,idw_visual
18.335,-67.32,15.612,idw_visual
18.335,-67.265,15.485,idw_visual
18.335,-67.21,15.376,idw_visual
18.335,-67.155,15.417,idw_visual
18.335,-67.1,15.634,idw_visual
18.335,-67.045,16.007,idw_visual
18.335,-66.99,16.543,idw_visual
18.335,-66.935,17.237,idw_visual
18.335,-66.88,18.084,idw_visual
18.335,-66.825,18.975,idw_visual
18.335,-66.77,19.634,idw_visual
18.335,-66.715,19.728,idw_visual
18.335,-66.66,19.133,idw_visual
18.335,-66.605,18.082,idw_visual
18.335,-66.55,16.948,idw_visual
18.335,-66.495,15.971,idw_visual
18.335,-66.44,15.192,idw_visual
18.335,-66.385,14.542,idw_visual
18.335,-66.33,13.931,idw_visual
18.335,-66.275,13.314,idw_visual
18.335,-66.22,12.733,idw_visual
18.335,-66.165,12.293,idw_visual
18.335,-66.11,12.075,idw_visual
18.335,-66.055,12.072,idw_visual
18.335,-66.0,12.212,idw_visual
18.335,-65.945,12.421,idw_visual
18.335,-65.89,12.651,idw_visual
18.335,-65.835,12.873,idw_visual
18.335,-65.78,13.077,idw_visual
18.335,-65.725,13.26,idw_visual
18.335,-65.67,13.422,idw_visual
18.335,-65.615,13.564,idw_visual
18.335,-65.56,13.69,idw_visual
18.335,-65.505,13.801,idw_visual
18.335,-65.45,13.9,idw_visual
18.335,-65.395,13.989,idw_visual
18.335,-65.34,14.068,idw_visual
18.335,-65.285,14.139,idw_visual
18.335,-65.23,14.204,idw_visual
18.335,-65.175,14.262,idw_visual
18.39,-67.32,15.547,idw_visual
18.39,-67.265,15.421,idw_visual
18.39,-67.21,15.303,idw_visual
18.39,-67.155,15.344,idw_visual
18.39,-67.1,15.473,idw_visual
18.39,-67.045,15.769,idw_visual
18.39,-66.99,16.235,idw_visual
18.39,-66.935,16.821,idw_visual
18.39,-66.88,17.468,idw_visual
18.39,-66.825,18.072,idw_visual
18.39,-66.77,18.475,idw_visual
18.39,-66.715,18.524,idw_visual
18.39,-66.66,18.17,idw_visual
18.39,-66.605,17.513,idw_visual
18.39,-66.55,16.723,idw_visual
18.39,-66.495,15.936,idw_visual
18.39,-66.44,15.197,idw_visual
18.39,-66.385,14.485,idw_visual
18.39,-66.33,13.757,idw_visual
18.39,-66.275,13.01,idw_visual
18.39,-66.22,12.325,idw_visual
18.39,-66.165,11.841,idw_visual
18.39,-66.11,11.643,idw_visual
18.39,-66.055,11.701,idw_visual
18.39,-66.0,11.914,idw_visual
18.39,-65.945,12.191,idw_visual
18.39,-65.89,12.475,idw_visual
18.39,-65.835,12.739,idw_visual
18.39,-65.78,12.974,idw_visual
18.39,-65.725,13.18,idw_visual
18.39,-65.67,13.359,idw_visual
18.39,-65.615,13.514,idw_visual
18.39,-65.56,13.65,idw_visual
18.39,-65.505,13.769,idw_visual
18.39,-65.45,13.874,idw_visual
18.39,-65.395,13.966,idw_visual
18.39,-65.34,14.049,idw_visual
18.39,-65.285,14.123,idw_visual
18.39,-65.23,14.19,idw_visual
18.39,-65.175,14.251,idw_visual
18.445,-67.265,15.45,idw_visual
18.445,-67.21,15.385,idw_visual
18.445,-67.155,15.369,idw_visual
18.445,-67.1,15.448,idw_visual
18.445,-67.045,15.691,idw_visual
18.445,-66.99,16.068,idw_visual
18.445,-66.935,16.53,idw_visual
18.445,-66.88,17.012,idw_visual
18.445,-66.825,17.431,idw_visual
18.445,-66.77,17.691,idw_visual
18.445,-66.715,17.713,idw_visual
18.445,-66.66,17.476,idw_visual
18.445,-66.605,17.023,idw_visual
18.445,-66.55,16.434,idw_visual
18.445,-66.495,15.78,idw_visual
18.445,-66.44,15.092,idw_visual
18.445,-66.385,14.366,idw_visual
18.445,-66.33,13.59,idw_visual
18.445,-66.275,12.792,idw_visual
18.445,-66.22,12.076,idw_visual
18.445,-66.165,11.59,idw_visual
18.445,-66.11,11.414,idw_visual
18.445,-66.055,11.505,idw_visual
18.445,-66.0,11.755,idw_visual
18.445,-65.945,12.064,idw_visual
18.445,-65.89,12.375,idw_visual
18.445,-65.835,12.661,idw_visual
18.445,-65.78,12.913,idw_visual
18.445,-65.725,13.132,idw_visual
18.445,-65.67,13.321,idw_visual
18.445,-65.615,13.484,idw_visual
18.445,-65.56,13.625,idw_visual
18.445,-65.505,13.749,idw_visual
18.445,-65.45,13.857,idw_visual
18.445,-65.395,13.953,idw_visual
18.445,-65.34,14.038,idw_visual
18.445,-65.285,14.114,idw_visual
18.445,-65.23,14.182,idw_visual
18.5,-67.155,15.451,idw_visual
18.5,-67.1,15.528,idw_visual
18.5,-67.045,15.719,idw_visual
18.5,-66.99,16.007,idw_visual
18.5,-66.935,16.353,idw_visual
18.5,-66.88,16.7,idw_visual
18.5,-66.825,16.988,idw_visual
18.5,-66.77,17.154,idw_visual
18.5,-66.715,17.153,idw_visual
18.5,-66.66,16.971,idw_visual
18.5,-66.605,16.626,idw_visual
18.5,-66.55,16.156,idw_visual
18.5,-66.495,15.597,idw_visual
18.5,-66.44,14.967,idw_visual
18.5,-66.385,14.27,idw_visual
18.5,-66.33,13.514,idw_visual
18.5,-66.275,12.745,idw_visual
18.5,-66.22,12.069,idw_visual
18.5,-66.165,11.615,idw_visual
18.5,-66.11,11.447,idw_visual
18.5,-66.055,11.529,idw_visual
