generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label,temperature_f,feels_like_f,heat_risk_level,temperature_plain_text,temperature_frame_f
2026-07-03T21:41:18+00:00,1,5,+05 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.033,0.76,8.2,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 0.033 pulgadas por hora, viento 8.2 mph, temperatura 83.2 °F, sensación 90.0 °F.",82.9,90.0,vigilancia,"Aguadilla: temperatura 82.9 °F, sensación térmica 90.0 °F, humedad 76 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.2
2026-07-03T21:41:18+00:00,1,5,+05 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.03,0.7,9.4,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 0.030 pulgadas por hora, viento 9.4 mph, temperatura 80.3 °F, sensación 84.3 °F.",80.0,84.3,bajo,"Aguas Buenas: temperatura 80.0 °F, sensación térmica 84.3 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",80.3
2026-07-03T21:41:18+00:00,1,5,+05 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.031,0.71,9.5,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 0.031 pulgadas por hora, viento 9.5 mph, temperatura 76.2 °F, sensación 75.9 °F.",75.9,75.9,bajo,"Aibonito: temperatura 75.9 °F, sensación térmica 75.9 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",76.2
2026-07-03T21:41:18+00:00,1,5,+05 min,Anasco,Anasco,west,18.282,-67.14,0.033,0.76,4.7,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 0.033 pulgadas por hora, viento 4.7 mph, temperatura 82.5 °F, sensación 90.1 °F.",82.2,90.1,vigilancia,"Anasco: temperatura 82.2 °F, sensación térmica 90.1 °F, humedad 83 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.5
2026-07-03T21:41:18+00:00,1,5,+05 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.026,0.6,13.7,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 0.026 pulgadas por hora, viento 13.7 mph, temperatura 82.8 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"Arecibo: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.8
2026-07-03T21:41:18+00:00,1,5,+05 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.034,0.79,12.6,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 0.034 pulgadas por hora, viento 12.6 mph, temperatura 82.8 °F, sensación 88.6 °F.",82.5,88.6,bajo,"Arroyo: temperatura 82.5 °F, sensación térmica 88.6 °F, humedad 75 %, riesgo de calor bajo. Monitoreo normal.",82.8
2026-07-03T21:41:18+00:00,1,5,+05 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.025,0.57,12.9,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 0.025 pulgadas por hora, viento 12.9 mph, temperatura 82.5 °F, sensación 89.7 °F.",82.2,89.7,bajo,"Barceloneta: temperatura 82.2 °F, sensación térmica 89.7 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",82.5
2026-07-03T21:41:18+00:00,1,5,+05 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.03,0.7,8.4,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 0.030 pulgadas por hora, viento 8.4 mph, temperatura 76.3 °F, sensación 76.0 °F.",76.0,76.0,bajo,"Barranquitas: temperatura 76.0 °F, sensación térmica 76.0 °F, humedad 86 %, riesgo de calor bajo. Monitoreo normal.",76.3
2026-07-03T21:41:18+00:00,1,5,+05 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.025,0.58,11.8,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 0.025 pulgadas por hora, viento 11.8 mph, temperatura 84.3 °F, sensación 93.8 °F.",84.0,93.8,vigilancia,"Bayamon: temperatura 84.0 °F, sensación térmica 93.8 °F, humedad 79 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",84.3
2026-07-03T21:41:18+00:00,1,5,+05 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.031,0.73,10.0,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 0.031 pulgadas por hora, viento 10.0 mph, temperatura 82.5 °F, sensación 90.3 °F.",82.2,90.3,vigilancia,"Cabo Rojo: temperatura 82.2 °F, sensación térmica 90.3 °F, humedad 84 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.5
